"technology","Material","value"
"onshore wind","Neodymium",165
"onshore wind","Neodymium",165
"onshore wind","Dysprosium",27.7
"onshore wind","Neodymium",198
"onshore wind","Steel",115133
"onshore wind","Steel",116250
"onshore wind","Steel",108920
"onshore wind","Steel",117900
"onshore wind","Aluminum",1733
"onshore wind","Aluminum",1750
"onshore wind","Aluminum",1640
"onshore wind","Aluminum",1800
"onshore wind","Copper",15267
"onshore wind","Copper",15350
"onshore wind","Copper",12680
"onshore wind","Copper",14233
"onshore wind","Copper",2733
"onshore wind","Copper",2520
"onshore wind","Copper",2500
"onshore wind","Copper",4800
"onshore wind","Copper",4609
"onshore wind","Copper",5067
"onshore wind","Copper",2440
"onshore wind","Copper",2514
"onshore wind","Copper",1567
"onshore wind","Copper",1571
"onshore wind","Copper",5560
"onshore wind","Copper",5643
"onshore wind","Copper",4917
"onshore wind","Copper",4896
